Site,Manufacturer,ManufacturersModelName,ReceiveCoilType,ReceiveCoilName,MagneticFieldStrength,ScanningSequence,FlipAngle,InversionTime,EchoTime,RepetitionTime,PixelBandwidth,ParallelAcquisition,NumberOfSlices,PlaneOrientationSequence,SliceEncodingDirection,PhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness,SpacingBetweenSlices,FieldofViewShape,FieldofViewDimensions,AcquisitionMatrix,PixelSpacing,AcquisitionDuration,ScanOptions,PartialFourier,Notes
du 1,GE,Signa Excite,,8 Chan,3T,3D FSPGR,12,0.45,Min Full,,,No,68,,,,,1.9,,Rectangle,256x256,256x256,1.0x1.0,,,,
mta 1,Siemens,TrioTIm,,,3T,,7,1.1,0.00433,2.17,140,No,160,Saggital,k,j-,Interleaved Ascending,1.2,1.8,Rectangle,256x256,256x256,1.0x1.0,8:06,"FS, PFP",8-Jul,
