Site,Manufacturer,ManufacturersModelName,ReceiveCoilType,ReceiveCoilName,MagneicFieldStrength,PulseSequenceType,FlipAngle,EchoTime,RepetitionTime,PixelBandwidth,ParallelAcquisition,NumberOfSlices,PlaneOrientationSequentialuence,SliceEncodingDirection,PhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness,SpacingBetweenSlices,FieldofViewShape,FieldofViewDimensions,AcquisitionMatrix,PixelSpacing,NumberofMeasurements,AcquisitionDuration,ScanOptions,TaskName,Instructions,TaskDescription,Notes,SliceTiming
du 1,GE,Signa Excite,Head,8 Chan,3T,,60,0.027,2,,,34,,,,,3.8,,Rectangle,,64x64,4.0x4.0,178,,,rest,Rest quietly with your eyes open,"Healthy young adult participants were run on the following tasks in sequence: animal-tool functional localizer, pre-conditioning resting state, fear conditioning functional study using animals and tools as conditioned stimuli and electric shock as an unconditioned stimulus, and post-conditioning resting state. The labels ""pre"" and ""post"" in the database correspond to the resting state data taken immediately before and immediately after the fear conditioning study, respectively, from the same research participant.",,n/a
mta 1,Siemens,TrioTim,Head,,3T,EPI,77,0.03,2,2442,Off,32,Axial,k,j,Interleaved Ascending,4,5,Rectangle,220x220,64x64,3.4x3.4,180,6:04,FS,rest,"For the next six minutes we ask you to relax and remain still while keeping your eyes open, even though you don't have to do anything specific during this part. ",,,"1000.0,0.0,1062.5,62.5,1125.0,125.0,1187.5,187.5,1250.0,250.0,1312.5,312.5,1375.0,375.0,1437.5,437.5,1500.0,500.0,1562.5,562.5,1625.0,625.0,1687.5,687.5,1750.0,750.0,1812.5,812.5,1875.0,875.0,1937.5,937.5"
nyu 1,Siemens,Allegra,Head,1 Chan,3T,EPI,90,0.015,2,3906,Off,33,Axial Oblique,k,i,Interleaved Ascending,4,4,Rectangle,240x192,80x64,3.0x3.0,180,6:00,FS,rest,"You're doing a great job! for the next few minutes we would like you to keep your eyes open, relax and remain still."," Most participants have 2 R-fMRI scans, collected less than 1 hour apart in the same scanning session. Rest_1 is always collected first.",,"0.0,1030.3,60.61,1090.91,121.21,1151.52,181.82,1212.12,242.42,1272.73,303.03,1333.33,363.64,1393.94,424.24,1454.55,484.85,1515.15,545.45,1575.76,606.06,1636.36,666.67,1696.97,727.27,1757.58,787.88,1818.18,848.48,1878.79,909.09,1939.39,969.7"
