Site,Manufacturer,Model,Headcoil,FieldStrength,Sequence,FlipAngle[Deg],EchoTime(TE)[ms],RepetitionTime(TR)[ms],BandwidthperVoxel(Readout)[Hz],ParallelAcquisition,NumberofSlices,Orientation,SlicePhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness[mm],SliceGap[mm],FieldofView[mm],AcquisitionMatrix,SliceIn-PlaceResolution[mm2],NumberofMeasurements,AcquisitionTime[min:sec],FatSuppression,ProspectiveMotionCorrection,RetrospectiveMotionCorrection,Notes
DU 1,GE,Signa Excite,8 Chan,3T,,60,27,2000,,,34,,,,3.8,,,64x64,4.0x4.0,178,,,,,
MTA 1,Siemens,TrioTim,,3T,EPI,77,30,2000,2442,Off,32,axial,PA,int+,4,1,220x220,64x64,3.4x3.4,180,6:04,Yes,No,,
NYU 1,Siemens,Allegra,1 Chan,3T,EPI,90,15,2000,3906,Off,33,axial oblique,RL,int+,4,0,240,80x64,3.0x3.0,180,6:00,Yes,No,,
