Site,Manufacturer,Model,Headcoil,FieldStrength,Sequence,FlipAngle[Deg],InversionTime(TI)[ms],EchoTime(TE)[ms],RepetitionTime(TR)[ms],BandwidthperVoxel(Readout)[Hz],ParallelAcquisition,NumberofSlices,Orientation,SlicePhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness[mm],SliceGap[mm],FieldofView[mm],AcquisitionMatrix,SliceIn-PlaceResolution[mm2],AcquisitionTime[min:sec],FatSuppression,PhasePartialFourier,Notes
DU 1,GE,Signa Excite,8 Chan,3T,3D FSPGR,12,450,Min Full,,,,68,,,,1.9,,256,256x256,1.0x1.0,,,,
MTA 1,Siemens,TrioTIm,,3T,,7,1100,4.33,2170,140,Off,160,saggital,AP,int+,1.2,0.6,256x256,256x256,1.0x1.0,8:06,On,7/8,
